abrasi|ab·ra·si [n] 1. [Geo] pengikisan batuan oleh air, es, atau angin yg mengandung dan mengangkut hancuran bahan
abreaksi|ab·re·ak·si [n Dok] pencetusan emosi dng mengingat kembali trauma psikis
abrek|ab·rek, se·ab·rek [n cak] sejumlah besar: <i>setiap pulang dr kantor saya masih harus menyelesaikan ~ pekerjaan rumah
abreviasi|ab·re·vi·a·si [n Ling] 1. pemendekan bentuk sbg pengganti bentuk yg lengkap
abrikos|ab·ri·kos [n] buah berbentuk bulat berwarna oranye, berdaging banyak dan berbiji keras, <i>Prunus armeniaca
abrit-abrit|ab·rit-ab·rit, ab·rit-ab·rit·an [Jk a] dl keadaan berlari tunggang-langgang (atau tergesa-gesa)
abrosfer|ab·ro·sfer [n] lingkungan berupa barang atau benda yg hidup
abrupsi|ab·rup·si [n Dok] keadaan terlepas
absah|ab·sah [a] sah: <i>surat keterangan ini tidak --
absen|ab·sen [v] tidak masuk (sekolah, kerja, dsb)
absensi|ab·sen·si [n] ketidakhadiran
absente|1:ab·sen·te [n] 1. seseorang yg tidak hadir
absente|2:ab·sen·te [n] perkebunan, tanah, perusahaan, dsb yg jauh dr pemiliknya
absenteisme|ab·sen·te·is·me [n] 1. ketidakhadiran yg terus-menerus (dl perusahaan, sekolah, dsb)
abses|ab·ses [n Dok] radang jaringan tubuh yg memungkinkan timbulnya rongga tempat nanah mengumpul
absis|ab·sis [n Mat] jarak titik thd sumbu tegak
absolusi|ab·so·lu·si [n Kat] pengampunan melalui upacara keagamaan atas kesalahan atau dosa yg telah diperoleh (dilakukan secara umum atau secara perseorangan dan diadakan secara berkala)
absolut|ab·so·lut [a] 1. tidak terbatas
absolutisme|ab·so·lut·is·me [n] bentuk pemerintahan tanpa undang-undang dasar
absonan|ab·so·nan [a] tidak sesuai
absorb|ab·sorb, meng·ab·sorb [v] menyerap (gas atau cairan)
absorben|ab·sor·ben [n] 1. [Fis] zat yg menyerap materi atau tenaga
absorpsi|ab·sorp·si [n] 1. penyerapan
absorpsiometer|ab·sorp·si·o·me·ter [n Kim] alat untuk mengukur absorpsi gas oleh cairan
